107600,GLENDALE COMMUNITY COLLEGE,GLENDALE,AZ,Public - 2 Year," $32,313,817 "," 9,923 "
107700,MESA COMMUNITY COLLEGE,MESA,AZ,Public - 2 Year," $34,938,683 "," 11,184 "
107800,PHOENIX COLLEGE,PHOENIX,AZ,Public - 2 Year," $23,346,975 "," 7,548 "
107900,YAVAPAI COLLEGE,PRESCOTT,AZ,Public - 2 Year," $10,372,835 "," 3,222 "
108100,ARIZONA STATE UNIV (ALL CAMPUSES),TEMPE,AZ,Public - 4 Year," $95,962,723 "," 24,131 "
108200,NORTHERN ARIZONA UNIVERSITY,FLAGSTAFF,AZ,Public - 4 Year," $35,113,307 "," 8,952 "
108300,UNIVERSITY OF ARIZONA,TUCSON,AZ,Public - 4 Year," $45,006,305 "," 10,818 "
108500,UNIV ARKANSAS MONTICELLO,MONTICELLO,AR,Public - 4 Year," $9,389,213 "," 2,412 "
108600,UNIV OF ARKANSAS AT PINE BLUFF,PINE BLUFF,AR,Public - 4 Year," $8,741,131 "," 2,005 "
108700,ARKANSAS BAPTIST COLLEGE,LITTLE ROCK,AR,Private - 4 Year," $4,093,460 "," 1,053 "
108800,LYON COLLEGE,BATESVILLE,AR,Private - 4 Year," $1,166,536 ", 265 
108900,ARKANSAS TECH UNIVERSITY,RUSSELLVILLE,AR,Public - 4 Year," $20,612,096 "," 5,285 "
109000,ARKANSAS STATE UNIVERSITY,STATE UNIVERSITY,AR,Public - 4 Year," $27,537,628 "," 6,965 "
109100,ARKANSAS STATE UNIVERSITY - BEEBE,BEEBE,AR,Public - 2 Year," $6,267,309 "," 1,638 "
109200,UNIVERSITY OF CENTRAL ARKANSAS,CONWAY,AR,Public - 4 Year," $16,211,442 "," 4,013 "
109300,CENTRAL BAPTIST COLLEGE,CONWAY,AR,Private - 4 Year," $1,656,339 ", 410 
109400,UNIVERSITY OF THE OZARKS,CLARKSVILLE,AR,Private - 4 Year," $997,022 ", 233 
109500,CROWLEYS RIDGE COLLEGE,PARAGOULD,AR,Private - 4 Year," $369,559 ", 90 
